num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
178,104,54,1,1,4,20,0,0
179,125,53,0,0,0,4,0,1
456,233,159,0,0,0,23,0,0
128,71,20,0,0,0,10,0,0
178,125,72,0,0,0,5,0,1
249,119,96,2,1,0,6,1,0
425,195,119,0,0,0,86,2,0
502,217,123,17,2,3,22,0,0
181,83,37,0,0,0,7,0,1
328,175,99,0,0,0,12,0,0
383,188,130,0,0,0,48,2,0
186,129,74,0,0,0,4,0,1
123,82,43,0,0,2,6,0,0
229,129,92,0,0,0,8,1,0
423,195,158,0,0,0,21,1,0
25,23,12,0,0,0,0,0,0
191,146,51,0,0,0,31,0,1
668,272,221,0,0,0,43,3,0
106,69,39,0,0,0,0,0,1
57,45,20,0,0,0,6,0,0
90,68,17,0,0,1,14,1,0
76,62,19,0,0,0,6,0,1
16,16,9,0,0,0,0,0,0
1345,565,421,0,0,0,158,2,1
352,202,98,0,0,0,20,0,1
915,412,256,0,0,0,59,2,1
237,127,72,1,1,3,23,1,0
106,71,46,0,0,0,1,1,0
329,169,98,5,2,1,16,0,0
21,19,7,0,0,0,1,0,0
105,73,34,2,1,1,5,0,1
119,79,38,0,0,0,12,0,1
118,75,48,0,0,0,1,0,0
25,24,7,0,0,0,1,0,0
220,143,87,0,0,0,10,1,0
128,102,43,0,0,0,9,0,1
17,16,0,0,0,1,3,0,0
321,146,55,6,1,10,47,0,0
44,43,10,0,0,0,11,0,1
326,148,58,0,0,0,28,1,0
138,75,41,0,0,0,25,0,0
166,111,41,1,1,0,17,0,0
27,25,4,0,0,0,7,0,1
91,68,23,0,0,0,9,0,0
98,75,31,1,1,0,4,1,0
252,155,52,0,0,0,5,0,0
52,37,9,1,1,3,2,0,0
8,8,3,0,0,0,1,0,0
367,154,43,0,0,0,33,0,0
769,367,223,0,0,4,17,0,0
89,72,24,0,0,1,1,0,1
806,323,330,0,0,0,10,0,1
119,83,41,0,0,0,15,0,1
37,33,4,0,0,0,8,0,0
79,68,14,0,0,0,14,0,1
199,112,39,0,0,0,45,0,0
447,194,185,0,0,0,40,1,0
120,92,34,0,0,0,5,0,1
142,96,54,0,0,0,5,0,1
52,44,13,0,0,0,1,1,1
179,112,62,0,0,0,9,1,1
25,22,7,0,0,0,1,0,1
242,137,97,1,1,4,14,0,0
898,469,285,0,0,0,119,2,1
106,80,24,0,0,0,8,0,1
77,61,22,1,1,0,3,0,1
172,133,59,0,0,0,4,0,1
74,58,25,0,0,0,0,0,1
49,42,9,0,0,0,5,0,1
264,123,114,0,0,0,0,0,0
147,99,50,0,0,3,4,0,0
52,47,13,0,0,0,3,0,1
231,137,85,0,0,0,9,0,0
214,126,72,0,0,1,5,0,0
28,25,10,0,0,0,1,0,0
93,84,6,0,0,0,9,0,1
160,106,45,1,1,1,3,1,1
82,73,19,0,0,0,2,0,1
320,193,113,3,3,1,24,1,1
88,59,26,6,2,0,9,0,0
688,306,210,0,0,0,12,0,0
16,16,6,0,0,0,0,0,0
8,8,2,0,0,0,0,0,0
162,109,47,0,0,0,6,0,0
522,285,116,2,2,20,72,0,0
42,35,7,0,0,0,3,0,0
255,135,108,0,0,0,1,2,1
162,91,32,0,0,0,31,0,0
28,26,9,1,1,0,2,0,1
1075,443,363,0,0,0,15,1,1
65,44,25,0,0,0,6,1,0
57,57,5,0,0,0,9,0,1
53,42,11,0,0,1,11,0,0
67,56,26,0,0,0,1,0,0
22,20,7,0,0,0,1,0,1
67,45,31,0,0,0,2,0,0
52,42,15,0,0,2,5,0,0
211,124,72,0,0,1,5,0,0
888,334,305,0,0,0,12,1,1
550,268,227,0,0,0,11,3,1
30,26,10,0,0,0,0,0,1
77,62,34,0,0,0,6,0,1
37,37,3,0,0,0,15,0,1
54,43,25,0,0,0,1,0,0
187,130,63,0,0,0,16,1,1
221,145,75,0,0,0,7,0,1
66,55,22,0,0,0,2,0,1
119,77,47,0,0,0,4,1,0
11,11,2,0,0,1,0,0,0
238,138,98,0,0,0,7,0,0
94,61,24,0,0,0,9,0,0
7,7,0,0,0,0,1,0,0
62,49,22,0,0,2,7,0,0
385,213,147,3,3,1,17,1,1
44,38,17,0,0,0,0,0,0
42,37,12,1,1,0,1,0,0
357,200,113,0,0,0,25,0,0
87,68,26,0,0,0,1,0,1
352,162,91,1,1,12,37,1,0
199,133,72,0,0,0,8,0,0
38,30,4,0,0,0,0,0,1
117,85,31,0,0,0,3,0,1
73,57,28,0,0,0,3,0,1
307,140,124,0,0,0,1,2,1
78,60,25,0,0,0,1,0,0
40,36,11,0,0,0,16,0,1
151,119,44,2,2,0,8,0,0
13,12,6,0,0,0,0,0,0
40,36,16,0,0,0,0,0,0
7,7,1,0,0,0,1,0,1
128,96,29,2,2,1,10,0,1
187,109,72,0,0,0,2,0,0
39,28,6,0,0,0,7,0,0
1885,725,570,0,0,0,160,0,0
86,72,27,0,0,1,6,0,0
29,28,8,0,0,0,0,0,0
590,286,170,0,0,0,14,2,1
213,133,63,0,0,0,18,1,1
539,241,194,0,0,0,42,1,1
385,377,9,0,0,0,39,0,1
183,114,57,0,0,0,22,1,0
102,73,27,0,0,1,6,0,0
1673,561,632,0,0,0,15,0,1
545,227,121,0,0,16,39,1,0
189,88,17,1,1,5,28,0,0
574,101,90,0,0,0,199,0,1
19,19,4,0,0,0,1,0,1
102,79,29,0,0,0,14,0,0
102,77,10,1,1,4,21,0,0
35,32,8,1,1,1,3,1,0
8,8,2,0,0,0,0,0,0
121,76,48,1,1,0,2,1,1
383,132,38,0,0,0,25,2,0
422,249,122,0,0,0,22,1,0
559,293,164,0,0,0,31,2,1
235,156,77,0,0,0,14,0,1
5,5,0,0,0,0,0,0,0
146,97,49,0,0,0,6,0,1
209,126,66,1,1,4,16,0,0
37,34,8,0,0,1,4,0,0
24,22,0,0,0,0,4,0,0
23,22,7,0,0,0,1,0,0
86,66,31,0,0,0,4,0,1
76,66,10,0,0,0,7,0,1
62,50,19,0,0,0,2,0,0
50,45,7,0,0,0,8,0,1
15,15,4,0,0,0,3,0,1
21,15,3,0,0,0,4,0,0
34,30,13,0,0,0,0,0,0
154,101,41,0,0,0,14,1,0
1120,479,271,7,1,0,62,2,0
920,427,326,0,0,5,34,2,0
255,116,79,0,0,0,14,1,0
71,52,31,0,0,0,1,0,0
30,30,10,0,0,0,0,0,0
126,90,44,0,0,0,7,0,0
6,6,1,0,0,0,0,0,0
66,56,22,0,0,0,1,0,0
12,11,1,0,0,0,0,0,1
2092,513,483,0,0,0,130,2,0
30,26,15,0,0,0,0,0,0
12,12,5,0,0,0,3,0,1
608,234,169,5,1,0,89,1,0
187,91,56,7,4,4,21,0,1
1586,516,443,3,2,3,49,3,0
575,263,199,0,0,0,20,0,0
82,55,11,0,0,0,7,0,0
13,13,1,0,0,0,2,0,1
33,31,8,0,0,0,0,1,0
24,22,5,0,0,0,3,0,0
321,161,127,0,0,0,35,0,0
873,424,319,0,0,0,61,0,0
251,159,91,2,1,2,18,0,0
1344,436,555,0,0,0,15,3,1
290,172,95,0,0,0,18,0,1
293,181,109,1,1,0,16,1,1
30,28,3,0,0,0,14,0,1
101,57,20,0,0,0,13,0,0
379,249,77,0,0,0,19,0,1
173,120,52,0,0,0,6,0,1
123,86,43,0,0,1,0,0,0
125,87,37,0,0,0,6,1,1
989,430,164,0,0,87,195,0,0
27,24,11,0,0,0,0,0,0
72,51,28,1,1,0,2,0,1
35,33,10,0,0,0,1,1,0
206,112,72,0,0,0,26,0,0
30,25,0,2,1,0,20,0,1
402,260,150,0,0,0,26,0,1
108,83,24,1,1,0,1,1,1
348,217,107,3,2,0,22,0,0
18,18,7,0,0,0,1,0,0
61,48,6,0,0,3,15,1,0
104,103,1,0,0,0,10,0,1
32,32,8,0,0,0,1,0,1
70,59,10,0,0,0,10,0,1
19,16,9,0,0,0,1,0,0
15,15,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0
278,155,92,1,1,0,8,0,0
63,40,22,0,0,0,10,0,1
3478,1026,1088,0,0,0,96,1,1
53,51,6,0,0,0,1,0,1
185,105,47,0,0,0,8,1,1
174,103,63,0,0,0,22,0,0
131,99,41,0,0,0,6,0,1
120,76,42,4,2,0,9,0,1
69,52,20,0,0,0,5,0,0
147,113,45,0,0,1,7,0,1
141,82,4,0,0,1,36,0,0
23,23,0,0,0,0,1,0,0
75,54,30,0,0,0,2,0,0
260,155,82,0,0,0,15,0,0
94,92,7,0,0,0,9,0,1
393,202,159,0,0,7,23,1,0
30,29,6,0,0,1,4,0,0
19,19,0,0,0,0,11,0,1
557,295,193,2,1,0,31,0,0
7,7,1,0,0,0,1,0,0
56,33,4,0,0,0,9,0,0
61,52,17,0,0,1,0,0,0
178,115,44,0,0,7,22,0,0
53,44,10,0,0,0,24,0,1
154,93,46,7,5,1,20,0,1
48,39,16,0,0,0,0,0,0
286,141,57,0,0,9,45,1,0
877,434,274,0,0,3,73,0,0
6,6,2,0,0,0,0,0,0
131,103,21,2,1,1,10,0,1
139,84,42,0,0,0,1,0,1
260,169,51,0,0,19,40,0,0
5,5,1,0,0,0,0,0,0
107,69,41,0,0,0,5,0,0
169,112,55,0,0,0,6,0,1
339,216,77,0,0,0,40,0,0
13,13,0,0,0,0,3,1,0
441,241,157,0,0,0,57,0,0
235,144,83,0,0,0,4,0,1
49,35,20,0,0,0,5,0,0
296,165,104,0,0,0,9,0,1
219,118,50,0,0,0,44,0,0
16,15,7,0,0,0,0,0,0
211,131,65,1,1,1,10,0,0
95,69,30,0,0,4,8,0,0
288,157,100,0,0,1,22,0,1
290,143,19,0,0,0,115,0,0
30,25,7,1,1,0,2,0,0
11,11,5,0,0,0,0,0,0
45,37,6,0,0,0,1,0,1
7,7,2,0,0,0,2,0,0
25,24,7,0,0,0,2,0,0
814,268,184,0,0,23,89,2,0
107,81,34,0,0,0,2,0,1
24,22,0,0,0,0,4,0,0
11,11,5,0,0,0,0,0,0
